t_s,s_m,v_kmh,slope_rad
0.0,0.0,0.0,0.06765437184641838
1.0,0.8660254037844387,5.4,0.06765437184641838
2.0,3.0,10.8,0.06765437184641838
3.0,6.757083874704828,16.200000000000003,0.0676543718464398
4.0,12.000000000000005,21.6,0.06765437184641838
5.0,18.48098483107865,23.72452942908228,0.06765437184641838
6.0,25.818553754815298,29.12452942908228,0.06765437184641838
7.0,34.65881612918795,34.524529429082286,0.06766112382636534
8.0,44.99713824627408,39.92452942908228,0.07381806991280587
9.0,56.1548574621553,40.33495366608154,0.0951439608140042
10.0,67.31261179552087,40.07722563921959,0.13152632255045302
11.0,78.47036612888644,40.182257455944224,0.16971950769886499
12.0,89.628120462252,40.229921849356906,0.1693935830177179
13.0,100.78587479561757,40.02956124580691,0.12729052949119365
14.0,111.94362912898313,40.38261805949422,0.04219430852178828
15.0,123.1013834623487,39.974997810478214,-0.08607816618784615
16.0,134.25913779571428,40.28448528468561,-0.25204811006226346
17.0,145.41689212908005,40.12769402061563,-0.4213766495883588
18.0,156.54865557993008,39.16385236637876,-0.5425536738971646
19.0,166.67721819528177,33.763852366378785,-0.6177366319165646
20.0,175.30533167505723,28.363852366378786,-0.6606992731821087
21.0,182.44795291540262,23.69748066215782,-0.683888420037642
22.0,189.7783279999124,29.097480662157835,-0.6972958530109503
23.0,198.61090353697725,34.49748066215784,-0.7003316221566755
24.0,208.94192623396174,39.897480662157825,-0.6859005930085877
25.0,220.09896792579192,40.362002433005884,-0.6468057318470137
26.0,231.2567222591577,40.05017687229535,-0.5788501704517415
27.0,242.4144765925235,40.209306222868356,-0.4744227192878382
28.0,253.57223092588927,40.20287308243288,-0.32345937810225944
29.0,264.72998525925505,40.05661001273083,-0.11805574290054754
30.0,275.88773959262085,40.355569292570415,0.1355095776437275
31.0,287.04549392598665,39.94794904355451,0.40580847571925827
32.0,298.20324825935245,40.31153405160921,0.6506784974220216
33.0,309.3610025927182,40.10064525369202,0.8468949776678244
34.0,320.518756926084,40.158837841471694,0.9947438039785205
35.0,331.67651125944974,40.25334146382955,1.1043819225449845
36.0,342.7212593889909,38.07026821499553,1.1855686373302383
37.0,352.5454200887708,32.670268214995524,0.6655440873724159
38.0,361.4271402550348,33.82375767952217,0.005818477063382191
39.0,371.5721041294306,39.22375767952219,-0.5901154138973783
40.0,382.70688727227514,40.06778870747217,-0.28876793159807734
41.0,393.8646416056409,40.34439059782905,0.055282407862118986
42.0,405.0223959390067,39.93677034881314,-0.04682199565768314
43.0,416.1801502723725,40.32271274635054,-0.047456126224377976
44.0,427.3379046057383,40.089466558950676,-0.022784748575371355
45.0,438.4956589391041,40.17001653621301,-0.010692161172246136
46.0,449.1491957795291,35.737953244382304,-0.008486888747420731
47.0,458.32504728885283,30.337953244382316,-0.00779722107213888
48.0,466.0045181768073,24.937953244382392,-0.007709766747750007
49.0,472.63165604791027,23.847909213236377,-0.007995405207336142
50.0,479.2261283633638,23.964364957135757,-0.008609186772436954
51.0,485.8206006788173,23.477570813512436,-0.009552884799354868
52.0,492.4150729942708,23.670556358647474,-0.010826834654051003
53.0,499.00954530972433,24.14171781172466,-0.012429291473579627
54.0,505.6040176251778,23.65492366810134,-0.014363211930348483
55.0,512.1984899406314,23.49320350405857,-0.016625599943516336
56.0,518.7929622560848,23.97999764768189,-0.019199733077621423
57.0,525.3874345715383,23.832276522690243,-0.02122435056295448
58.0,531.9819068869919,23.345482379066922,-0.022139011047872893
59.0,538.5763792024453,23.802644793092988,-0.021933806013532144
60.0,545.1708515178989,24.009629377279147,-0.020618632728225936
61.0,551.7653238333523,23.522835233655826,-0.01818730076810285
62.0,558.3597961488059,23.625291938504084,-0.014641167585336172
63.0,564.9542684642594,24.112086082127405,-0.00998315501078057
64.0,571.548740779713,23.70018808824471,-0.004205046346305405
65.0,578.1432130951667,23.447939083915454,0.002683800015057002
66.0,584.7376854106205,23.934733227539027,0.01068946334195387
67.0,591.3321577260743,23.877540942832855,0.019807475533382028
68.0,597.9266300415281,23.39074679920928,0.029886224206663477
69.0,604.5211023569819,23.757380372950884,0.03875019062131156
70.0,611.1155746724359,24.054893797421,0.04561594576650046
71.0,617.7100469878897,23.568099653797425,0.05047287108792901
72.0,624.3045193033435,23.580027518362737,0.0533315166876278
73.0,630.8989916187973,24.066821661986314,0.054194245460014195
74.0,637.493463934251,23.74545250838557,0.05305224927920749
75.0,644.0879362497049,23.402674663774594,0.04991880935515908
76.0,650.6824085651587,23.889468807398167,0.044777480681713
77.0,657.2768808806125,23.922805362973715,0.037636240279307114
78.0,663.8713531960664,23.43601121935014,0.028490499996776733
